name,phase,ml/opt,mean,std_error
base (1.0),2 phase,ml,0.023990354543053195,0.0001362900425131485
base (1.0),2 phase,opt,0.008788081048893276,0.00016309795794938807
base (1.0),3 phase,ml,0.036568014113064706,0.00025093152969097405
base (1.0),3 phase,opt,0.027593732485818655,0.00028520036693112057
pi (1.0),2 phase,ml,0.023853047010870945,0.00013239460914625257
pi (1.0),2 phase,opt,0.008724898112843146,0.00015597485332067575
pi (1.0),3 phase,ml,0.03190524078985411,0.0002379066059222119
pi (1.0),3 phase,opt,0.024545433196841153,0.0002793694734454115
pi+ (1.0),2 phase,ml,0.029425829642777387,0.00014162269332773013
pi+ (1.0),2 phase,opt,0.009502264562608774,0.00016809360924952726
pi+ (1.0),3 phase,ml,0.042557179896262974,0.00025844249242656773
pi+ (1.0),3 phase,opt,0.033242046865019526,0.0003157240443304475
base (0.1),2 phase,ml,0.02916149445185936,0.00013648281968857347
base (0.1),2 phase,opt,0.009609942235064386,0.00017090363798150167
base (0.1),3 phase,ml,0.039294957949325415,0.0002446474104033221
base (0.1),3 phase,opt,0.02941984789324786,0.0003003002697960517
pi (0.1),2 phase,ml,0.029476285824450173,0.0001399035179343638
pi (0.1),2 phase,opt,0.010302126793138326,0.00017119778307732623
pi (0.1),3 phase,ml,0.04579110432225779,0.0002561279779752304
pi (0.1),3 phase,opt,0.0355882676063208,0.0003305744950035964
pi+ (0.1),2 phase,ml,0.023558162234540353,0.00013566318782942154
pi+ (0.1),2 phase,opt,0.008306419034381902,0.00015702549924095612
pi+ (0.1),3 phase,ml,0.03981288154994335,0.0002557951089021293
pi+ (0.1),3 phase,opt,0.029885129554669907,0.0002971039631663841
